Scenario,Fold,Accuracy,F1,FAR(%),FRR(%),n_train,n_test,n_features_selected
M2,1,0.27466666666666667,0.1616554054054054,66.0,20.0,300,375,387
M2,2,0.272,0.15468400611980698,53.0,21.333333333333336,300,375,387
M2,3,0.2906666666666667,0.16722925457102672,52.33333333333333,25.333333333333336,300,375,387
M3,1,0.304,0.22614605191024406,35.66666666666667,34.66666666666667,450,375,387
M3,2,0.33066666666666666,0.25115468409586056,27.0,36.0,450,375,387
M3,3,0.304,0.23042185591607087,34.66666666666667,36.0,450,375,387
M4,1,0.5333333333333333,0.46241418285991925,12.333333333333334,33.33333333333333,600,375,387
M4,2,0.5093333333333333,0.44187549539662213,11.666666666666666,41.333333333333336,600,375,387
M4,3,0.496,0.42622154805068524,17.666666666666668,38.666666666666664,600,375,387
M5,1,0.5626666666666666,0.5545860200405655,12.333333333333334,36.0,750,375,387
M5,2,0.608,0.606659290099071,8.666666666666668,49.333333333333336,750,375,387
M5,3,0.5386666666666666,0.5340936374549821,18.333333333333332,33.33333333333333,750,375,387
