Scenario,Fold,Accuracy,F1,FAR(%),FRR(%),n_train,n_test,n_features_selected
M2,1,0.2818181818181818,0.16115942028985508,52.27272727272727,22.727272727272727,106,110,387
M2,2,0.272,0.15449229133439657,37.0,44.0,100,125,387
M2,3,0.25,0.14642857142857144,59.82142857142857,39.285714285714285,94,140,387
M3,1,0.32727272727272727,0.24440281030444963,15.909090909090908,59.09090909090909,159,110,387
M3,2,0.288,0.21746031746031744,20.0,56.00000000000001,150,125,387
M3,3,0.32142857142857145,0.2494768962510898,16.964285714285715,46.42857142857143,141,140,387
M4,1,0.5272727272727272,0.4602017030588459,15.909090909090908,40.909090909090914,212,110,387
M4,2,0.488,0.4216891775058118,8.0,56.00000000000001,200,125,387
M4,3,0.5428571428571428,0.47610698878343394,10.714285714285714,39.285714285714285,188,140,387
M5,1,0.5727272727272728,0.5675748273181703,18.181818181818183,40.909090909090914,265,110,387
M5,2,0.568,0.5657567670606177,11.0,52.0,250,125,387
M5,3,0.6214285714285714,0.6215936030959679,11.607142857142858,42.857142857142854,235,140,387
